LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
CA00258	1',2'-Dihydro-2'-hydroxy-3',4'-dehydro-4-keto-γ-carotene	566.832 g/mol
LMPR01070133	Tetrahydro-beta-carotene	540.469500
LMPR01040128	Rebaudioside !	1128.483620
LMPR0103280002	1beta,10beta-Epoxy-nardosinane	220.182715
CA01001	Apo-11-zeaxanthinal	234.326 g/mol
CA00089	3,4,11',12'-Tetrahydrospheroidene	572.922 g/mol
LMPR0106210003	Eudoraenol	412.370515
LMPR0103090030	Elephantopinolide M	276.099775
CA00438	Cryptoxanthin 5,6,5',8'-diepoxide	584.848 g/mol
LMPR01040118	Crassumol A	322.250795
LMPR0103390001	Curmadione	234.161980
LMPR0106200008	Arborinol	426.386165
LMPR0102130001	Tricyclene	136.125200
CA00418	Cycloviolaxanthin	600.848 g/mol
CA01235	Ceratozamiaxanthin	586.864 g/mol
LMPR0103510001	(+)-beta-Isolongibornene	204.187800
LMPR0102090031	(1R,2R,4R)-Dihydrocarveol	154.135765
LMPR0104040003	terpentedienyl diphosphate	450.193631
LMPR0104080009	isopimara-7,15-dienal	286.229665
CA00285	Citranaxanthin	456.682 g/mol
LMPR0102010029	8-oxogeranial	166.099380
CA00168	R.g.Keto-V	586.906 g/mol
CA00921	Haloxanthin	739.092 g/mol
CA00359	Caloxanthin 3-sulphate	687.908 g/mol
LMPR0103010025	NA	407.989462
LMPR0106150025	Bassic acid	486.334525
CA01124	Tetradehydrolycopenal	546.8 g/mol
LMPR0104040006	NA	346.178025
LMPR01070328	Fucoxanthinol 3-linoleate 3'-(9E-hexadecenoate)	1114.856455
LMPR0103830003	3-Copaene-2-ol	220.182715
LMPR0103100001	Bicyclogermacrene	204.187800
LMPR01070293	(3S,5R,6R)-3,5-dihydroxy-6,7-didehydro-5,6-dihydro-12'-apo-beta-caroten-12'-al	382.250795
LMPR0104070003	gibberellin A2	350.172940
LMPR0103410007	guaiol	222.198365
CA00803	β-Ionone	192.29 g/mol
LMPR0102090044	(+)-Isomenthone	154.135765
LMPR0104040005	NA	348.193675
CA00994	(15Z)-Zeaxanthin-3'-Rhamnoside	714.988 g/mol
LMPR01080066	Glisoprenin B	718.611140
LMPR01070256	zeta-Carotene	540.469500
CA01170	Megastigma-4,6,8-trien-3-one	190.274 g/mol
LMPR0103890002	1-deoxy-11beta-hydroxypentalenic acid	250.156895
LMPR01070507	7',8',11',12'-Tetrahydro-gamma-carotene	540.469500
CA00251	2-Hydroxy-monocyclic-phytofluene 1',2'-oxide	574.896 g/mol
CA00863	Blumenol C cellobioside	534.586 g/mol
LMPR01090016	all-trans-retinyl linolate	546.443680
CA00812	Apo-10'-β-carotenol	378.574 g/mol
CA00724	Agelaxanthin A	548.816 g/mol
LMPR0102120024	Myrtenic acid	166.099380
CA00167	R.g.Keto-VI	584.89 g/mol
LMPR01070324	Fucoxanthinol 3-stearidonate- 3'-(9E-hexadecenoate)	1110.825155
CA00034	4,4'-Diapocaroten-4'-al-4-oic acid	444.588 g/mol
CA00757	Bastaxanthin D	717.892 g/mol
LMPR0106040010	Isocephalosporin P1	574.350570
LMPR0106050007	Ganocasurarin A	488.350175
LMPR0103310001	(-)-Valeranone	222.198365
LMFA06000130	10-oxogeraniol	168.115030
LMPR01070640	(2R,2'S)-2,2'-Dihydroxy-beta-carotene	568.428030
LMPR0105010011	C25:2 Highly branched isoprenoid	348.375600
LMPR0103060015	alpha-curcumene	202.172150
CA00482	4'-Hydroxy-4-ketopirardixanthin	570.864 g/mol
LMPR0106150035	Protobassic acid	504.345090
CA00578	Pyrrhoxanthin	612.774 g/mol
LMPR0104010027	Phytanal	296.307915
LMPR01070147	Erythroxanthin sulfate	678.359027
LMPR04000025	2-methyl-32,35-anhydrobacteriohopanetetrol	542.469895
CA00369	Anhydrolutein III	550.832 g/mol
LMPR0104230014	Gemmacolide F	610.189775
LMPR01070137	Hydroxyspirilloxanthin	582.443680
LMPR01070118	1'-Hydroxy-gamma-carotene	554.448765
LMPR02020054	alpha-tocotrienol	424.334130
LMPR0106150043	Cincholic acid 3beta-O-beta-D-glucopyranosyl-(1-4)-beta-D-fucopyranosyl-28-O-beta-D-glucopyranosyl ester	956.498085
CA01108	Dihydro-β-ionone	194.306 g/mol
LMPR0104550003	Chinensen D	454.308310
LMPR01070123	beta-Isorenieratene	532.406900
LMPR0102010006	Neral	152.120115
LMPR0103500011	5-(1-oxopropan-2-yl)isolongifol-5-ene	260.214015
LMPR0102120045	(1R)-bornane-2,5-dione	166.099380
CA00573	Pyrrhoxanthinol	570.738 g/mol
CA00520	19'-Hydroxyfucoxanthin	674.884 g/mol
CA00442	(8'S)-Luteoxanthin	600.848 g/mol
CA00427	Latochrome	618.864 g/mol
LMPR01070071	(3S,4R,3'R)-4-Hydroxyalloxanthin	580.391645
CA00240	1',2'-Dihydro-3,1'-dihydroxytorulene glucoside	730.988 g/mol
CA01177	2,5-Epoxy-megastigma-6(Z),8(E)-diene	192.29 g/mol
LMPR0102120040	(-)-beta-thujone	152.120115
LMPR0102120031	(1R,4S)-fenchone	152.120115
CA00654	3'-Keto-α-carotene	550.832 g/mol
LMPR0102070059	Gardenoside	404.131865
LMPR01080056	Neodidymellioside A	916.685095
CA00979	(3S,4R,3'S,4'R)-Crustaxanthin	600.848 g/mol
LMPR0103330001	(+)-delta-Cadinene	204.187800
CA00822	Sinensiachrome	410.574 g/mol
LMPR0103540009	epi-Austrobuxusin H	534.282885
LMPR0103690007	cedrol	222.198365
LMPR0106150038	quillaic acid alpha-L-Arap-(1->4)-alpha-L-Arap-(1->3)-beta-D-Xylp-(1->4)-alpha-L-Rhap-(1->2)-beta-D-fucopyranosyl ester	1174.577125
LMPR0102060001	Chrysanthemic acid	168.115030
CA00754	Bastaxanthin B2	699.876 g/mol
CA01135	(9Z,3S,5R,6S)-5,6-Epoxy-3-hydroxy-12'-apo-β-caroten-12'-al	382.522 g/mol
CA00326	2,3-Dihydroxy-β-carotene	568.848 g/mol
CA00348	Heteroxanthin	600.848 g/mol
CA01010	Geranylacetone	194.306 g/mol
LMPR0104010001	Geranylgeranyl diphosphate	450.193631
LMPR0106180003	(+)-3beta-Hydroxy-ursan-28-oic acid	458.375995
LMPR0102010005	Myrcene	136.125200
LMPR0103090038	15-hydroxydeltoidin A	350.172940
LMPR0102010022	(Z)-alpha-ocimene	136.125200
CA00411	Cryptoxanthin diepoxide	584.848 g/mol
LMPR0103010021	22:3(5Z,9Z,19Z)(13Me,17Me,21Me)	376.334130
CA00223	18'-Hydroxytorulene	550.832 g/mol
CA00753	Bastaxanthol B	610.800 g/mol
CA00241	Myxol 2'-glycoside	746.988 g/mol
LMPR02010035	3-decaprenyl-4-hydroxy-5-methoxybenzoic acid	848.668260
CA00726	Isoclathriaxanthin	562.8 g/mol
LMPR0106050009	Pericinone A	456.360345
CA00234	Deoxymyxol	568.848 g/mol
LMPR01080060	Neodidymellioic acid B	786.622100
LMPR0103050002	(-)-abscisic aldehyde	248.141245
LMPR02020057	gamma-tocotrienol	410.318480
CA00956	Myxol 2'-dimethyl fucoside	759.04 g/mol
CA00669	Lutein 3-pyropheophorbide A ester	1085.474 g/mol
LMPR0103830001	5,10-Epoxy-muurolane	220.182715
LMPR0106080002	(+)-24-Dammarene-3alpha,12beta,20S-triol	460.391645
LMPR01070361	Fucoxanthinol 3-oleate 3'-heptadecanoate	1132.903405
LMPR0104480002	(-)-4,10(20),14-Bifloratriene	272.250400
LMPR0104110003	(-)-13(16),14-Spongiadiene	286.229665
CA00806	Blumenol B	226.306 g/mol
LMPR01070199	alpha-Zeacarotene	538.453850
CA00612	(3S,3'R,5S,6S,6'R)-5,6-Dihydroxy-5,6-dihydrolutein	602.864 g/mol
LMPR0104230013	Gemmacolide E	572.166058
LMPR0104030026	Haterumaimide H	381.170687
LMPR02020086	Polycerasoidin	372.230060
LMPR0104010016	2-oxophytanic acid	326.282095
LMPR01070341	Fucoxanthinol 3-stearidonate 3'-palmitoleate	1110.825155
LMPR0103480003	(+)-2-Himachalen-7-ol	222.198365
CA00347	Crustaxanthin	600.848 g/mol
CA00054	1,2,7,8,11,12-Hexahydrolycopene	542.896 g/mol
CA00778	Renierapurpurin	528.784 g/mol
LMPR0106010037	10-hydroperoxy-squalene	442.381080
CA00449	Pittosporumxanthin B2	1013.522 g/mol
LMPR01090012	Retinol Acetate/All-trans-retinyl Acetate	328.240230
CA00288	Neurosporaxanthin methyl ester	512.744 g/mol
CA00874	Cochloxanthin	462.604 g/mol
LMPR0103410003	Matricin	306.146725
CA00291	Tangeraxanthin	484.692 g/mol
LMPR0103620002	(+)-Marmasmic acid	262.120510
CA00581	Roserythrin	578.758 g/mol
LMPR0104170001	Gibberellin A1	348.157290
CA00471	Canthaxanthin	564.816 g/mol
LMPR03030008	di-trans,poly-cis-undecaprenyl diphosphate	926.631831
CA01197	11-Apoastaxanthinal	248.31 g/mol
LMPR0103010037	Crannenol D	278.188195
LMPR01080057	neodidymelliol A	918.700745
LMFA06000169	Faranal	250.419506
LMPR0104240018	Clavirolide A	332.198760
CA01159	19-Oxo-carlactone	316.382 g/mol
LMPR0104310002	Ingol	366.204240
LMPR0102010003	Geranial	152.120115
CA00790	Apo-6'-lycopenal	442.656 g/mol
CA01072	Tectoionol derivative	194.222 g/mol
CA00719	3,4-Dehydro-γ,χ-carotene	530.8 g/mol
LMPR01070317	Fucoxanthinol 3-(5Z,8Z,11Z,14Z,17-eicosapentaenoate)	900.626790
CA00179	2,2'-Diketospirilloxanthin	624.868 g/mol
LMPR0106040013	3-epifusidic acid	516.345090
CA00454	Pittosporumxanthin C1	1029.522 g/mol
CA00220	3"-Hydroxy-2'-isopentylsaproxanthin	654.978 g/mol
CA01140	(all-E,3R)-3-Hydroxy-α-retinal	300.424g /mol
LMPR0104020002	Axerophthene	270.234750
CA00843	3-oxo-α-Ionol	224.29 g/mol
LMPR0104230006	Solenolide C	514.160578
LMPR0103480011	(1R,6R)-gamma-himachalene	204.187800
CA00522	4-Ketonostoxanthin 3'-sulphate	717.892 g/mol
LMPR0104510001	Rogioldiol A	384.166391
LMPR04000004	bacteriohopane-32,33,34,35-tetrol	546.464810
CA00191	γ-Carotene	536.848 g/mol
LMPR01040114	Ximaosarcophytol A	304.240230
LMPR0102010016	2E-geraniol	154.135765
LMPR0106240009	Ambrein	428.401815
CA00222	16'-Hydroxytorulene	550.832 g/mol
LMPR0103890001	Pentalenic acid	250.156895
LMPR01070355	Fucoxanthinol 3-myristate 3'-palmitate	1064.840805
LMPR0106090001	(+)-Tirucallol	426.386165
LMPR0102090034	(1S,2S,4R)-Iso-dihydrocarveol	154.135765
LMPR0103090008	(+)-geosmin	182.167065
LMPR0104180004	(-)-Leucothol C	334.214410
LMPR02010038	Sulfated Dihydromenaquinone-9	882.583212
CA00372	Isocryptoxanthin	552.848 g/mol
LMPR01030044	2alpha,6alpha-epoxyhimachal-3-ene	220.182715
LMPR0105060005	16-O-deacetyl-16-epi-scalarolbutenolide	402.277010
CA00436	(8R)-Mutatoxanthin	584.848 g/mol
LMPR0106010065	beta-D-glucosyl 4,4'-diaponeurosporenoic acid	594.355655
CA00694	3-Keto-3'-hydroxy-ε-carotene	566.832 g/mol
CA00562	19'-Hexanoyloxyfucoxanthin	773.024 g/mol
LMPR0103500003	5-(1-hydroxypropan-2-yl)isolongifol-5-ene	262.229665
LMPR0103190007	5beta,10alpha-sibirene	204.187800
LMPR0104150003	19-(3-methyl-butanoyloxy)-villanovane-13alpha,17-diol	422.303225
LMPR02010042	NA	532.428030
CA00554	Guaraxanthin	598.832 g/mol
LMPR0104470001	Acutilol A	304.240230
LMPR0102010011	(S)-(-)-Citronellal	154.135765
CA00815	Galloxanthin	394.574 g/mol
LMPR0102090040	(1S,2R,4S)-Neo-dihydrocarveol	154.135765
CA01077	(3R,5R,6S,3'R,5'R,6'S)-3,6-Epoxy-5-hydroxy-1',2',5',6',7',8'-hexahydro-16'-nor-beta,psi-carotene-1',8'-dione	616.848 g/mol
CA00981	Hydratoperidinin	648.806 g/mol
CA00404	Diadinoxanthin	582.832 g/mol
LMPR0103730001	4(15)-Hirsutene	204.187800
LMPR0106150044	Cincholic acid 3beta-O-beta-D-glucopyranosyl-(1-4)-beta-D-fucopyranoside	794.445260
CA00987	Dihydroxylycopene glucoside	735.02 g/mol
CA00069	Lycopersene	546.928 g/mol
CA00557	Fucoxanthin 3-acetate	700.92 g/mol
LMPR0104330008	Dapholosericin A	608.298535
LMPR0104080013	Momilactone B	330.183110
LMPR0104190005	Cembrene-A	272.250400
LMPR0104050015	Lophachinin D	330.183110
CA00667	Siphonein	783.144 g/mol
LMPR0102090066	2-Methylisoborneol	168.151415
LMPR01070983	(3R,3'R,5S)-3,3',5,19'-tetrahydroxy-7',8'-didehydro-gamma,epsilon-carotene-8-one	616.412775
LMPR0103010006	2E,6Z-farnesol	222.198365
LMPR0102090027	gamma-Terpinene	136.125200
CA00192	(15Z)-γ-Carotene	536.848 g/mol
CA00894	Bixin	394.49 g/mol
LMPR0103060002	Zingiberene	204.187800
CA00360	Cryptoxanthin glucoside	714.988 g/mol
LMPR01070954	alpha-Botryoxanthin	1032.866230
LMPR0104380001	(+)-Verticillol	290.260965
CA00699	(6R,3'R,6'S)-3-Dehydrolactucaxanthin	566.832 g/mol
LMPR01030047	Macrophyllic acid B	250.156895
CA01096	Fucoxanthinol 3-ester	672.91 g/mol
LMPR0104530002	(-)-Reiswigin A	304.240230
CA00618	Pyrenoxanthin	584.848 g/mol
LMPR01070030	Lutein B	568.428030
LMPR0103500005	5-(2-hydroxyethyl)isolongifol-4-ene	248.214015
LMPR0106010010	3S-squalene-2,3-epoxide	426.386165
CA00702	Dihydroprasinoxanthin epoxide	618.864 g/mol
LMPR01090053	9-cis-4-hydroxyretinoic acid	316.203845
LMPR0103890003	1-deoxy-11-oxopentalenic acid	248.141245
LMPR0106150010	gypsogenin	470.339610
CA00419	Luteoxanthin	600.848 g/mol
LMPR0105010007	C25:3 Highly branched isoprenoid A	346.359950
LMPR0103410008	Rotundone	218.167065
LMPR0103500015	5-(2-methoxyethyl)isolongifol-5-ene	262.229665
LMPR01070191	1',2'-Dihydro-1',2'-dihydroxy-4-ketotoruelene	582.407295
CA00759	Agelaxanthin C	628.858 g/mol
CA00912	7',8',11',12'-Dehydrononaprenoxanthin	620.962 g/mol
CA00339	4-Hydroxyzeaxanthin	584.848 g/mol
CA00458	Pittosporumxanthin B1	1013.522 g/mol
LMPR01071053	beta-Apo-10'-carotenal	376.276615
LMPR0103010017	22:1(5Z)(13Me,17Me,21Me)	380.365430
LMPR0103160001	1,13-Dihydroxy-herbertene	234.161980
LMPR0103500010	5-(1-hydroxypropan-2-yl)isolongifolane	264.245315
LMPR0103090007	Germacrene B	204.187800
LMPR0104030008	stemar-13-ene	272.250400
LMPR01070390	Mactraxanthin 3,3'-dipalmitoleate	1108.867020
LMPR0103370011	Ustusoic acid A	404.219890
CA00525	Astaxanthin dirhamnoside	893.044 g/mol
CA00865	α-Ionol	194.306 g/mol
LMPR0104180001	Grayanotoxin II	352.224975
LMPR0104390007	2alpha-hydroxytaxusin	520.267235
LMPR0104170025	Gibberellin A34	348.157290
LMPR0104350004	Fusicoccin A	680.377180
CA01031	Vitamin A	286.44 g/mol
CA00793	Methyl apo-6'-lycopenoate	472.682 g/mol
LMPR0106150069	Escin IIIa	1114.555995
LMPR0104010023	2E-Phytenoic acid	310.287180
LMPR0104010006	Phytanol	298.323565
LMPR0104210003	(-)-Cladielline	304.240230
CA00760	Sapotexanthin	552.848 g/mol
LMPR0102090015	Limonene-1,2-epoxide	152.120115
LMPR0106150057	Apoanagallosaponin IV	1104.571645
LMPR0102060010	(-)-trans-(R)-allethrin	302.188195
CA01129	(7Z,9Z)-Neurosporene	538.864 g/mol
LMPR0103700007	albaflavenol	220.182715
LMPR01070767	2-Keto-beta-carotene	550.417465
CA00917	Flavuxanthin	705.076 g/mol
LMPR01090040	11-cis- and 12s-trans-fixed retinal	282.198365
LMPR0106150065	Escin 1a	1130.550910
CA00105	Dihydroxylycopene diglucoside	897.16 g/mol
LMPR01080070	Decaprenoxanthin	704.553230
LMPR0104010025	2E-Phytenal	294.292265
CA00221	Celaxanthin	550.832 g/mol
LMPR0104030024	Haterumaimide F	383.186337
LMPR0106180008	11-Keto-beta-boswellic acid	470.339610
CA00924	Bacterioruberin monoglucoside	903.248 g/mol
LMPR0104540004	Ginkgolide J	424.136950
LMPR0103330005	amorpha-4,11-diene	204.187800
LMPR03020002	Undecaprenyl phosphate mannose	1008.718323
LMPR0104010024	2E-Phytenic acid	310.287180
CA00399	2-Hydroxy-β-carotene 5,6-epoxide	568.848 g/mol
CA00496	Brittonxanthin	594.842 g/mol
CA00493	4'-Hydroxy-4-ketoalloxanthin	594.8 g/mol
CA00523	Adonixanthin-β-D-glucoside	744.972 g/mol
LMPR0103410001	Thapsigargin	650.330230
CA00634	2-Keto-α-carotene	550.832 g/mol
LMPR0104230001	Briantheine W	416.219890
CA01046	4-Oxoretinaldehyde	298.408 g/mol
CA00216	1'-Hydroxy-γ-carotene glucoside mycolic acid ester	901.274 g/mol
CA00033	Acetyl-4,4'-diapolycopene-4,4'-dioate	502.624 g/mol
CA00830	8'-Apoalloxanthinal	430.604 g/mol
LMPR01070522	1'-Methoxy-3',4'-dehydro-gamma-carotene	566.448765
LMPR01070028	alpha-Doradexanthin/ (3S,3'S,6'R)-4-Ketolutein	582.407295
LMPR0103290001	Brasila-5,10-diene	204.187800
LMPR0103710001	Clovane-2beta,9alpha-diol	238.193280
CA00773	3,3'-Ditetrahydropyranosyloxyisorenieratene	729.012 g/mol
CA00873	α-Citraurinol	434.636 g/mol
LMPR0103010020	20:3(5Z,9Z,17Z)(11Me,15Me,19Me)	348.302830
LMPR0102090042	(1S,4R)-1-Hydroxy-2-oxolimonene	168.115030
LMPR0103540003	Austrobuxusin E	476.277405
LMPR0106080017	Ginsenoside Rh1	638.439385
LMPR0105010013	C25 Highly branched isoprenoid	352.406900
CA01138	Cyclohexenone	372.446 g/mol
CA00711	Hydroxychlorobactene	550.832 g/mol
CA00045	1,2-Dihydro-3,4-dehydrolycopene	536.848 g/mol
LMPR0102070052	Diffusoside D	462.173730
LMPR01070621	chi,psi-Carotene	532.406900
CA00316	Isocarotene	534.832 g/mol
LMPR0103090029	Elephantopinolide L	278.115425
CA01145	β-Apo-8'-carotenol	418.636 g/mol
CA01199	15-Apoastaxanthinal	314.408 g/mol
LMPR02020076	alpha-carboxydimethyldecylhydroxychroman	432.323960
LMPR01080063	Neodidymellioic acid E	784.606450
LMPR0104010010	Plaunotol	306.255880
CA00023	OH-Diaponeurosporene glucoside ester	652.88 g/mol
CA01086	Diadinochrome B	582.832 g/mol
LMPR0102090047	gamma-Terpinyl acetate	196.146330
LMPR0102010008	beta-Citronellol	156.151415
CA00684	Tunaxanthin I	568.848 g/mol
CA00795	10'-Apolycopen-10'-oic acid	392.558 g/mol
CA00750	4-Hydroxymytiloxanthin	614.832 g/mol
CA00282	Salinixanthin	969.346 g/mol
LMPR0103160002	1,14-Dihydroxy-herbertene	234.161980
LMPR0103270003	(+)-aristolochene	204.187800
CA01180	10-apo-19-nor-6,7-didehydro-epsilon-carotn-3,9-dione	204.258 g/mol
LMPR01070349	Fucoxanthinol 3-linolenate 3'-palmitate	1114.856455
LMPR0106040001	(-)-Fusidic acid	516.345090
CA01004	(5Z)-Bacterioruberin	741.108 g/mol
CA00214	Saproxanthin rhamnoside	714.988 g/mol
LMPR0103550001	(+)-8-Daucen-5-ol	222.198365
LMPR01070387	Mactraxanthin 3-heptadecanoate 3'-palmitoleate	1124.898320
CA00897	6-Geranylgeranyl 8'-methyl 6,8'-diapocarotene-6,8'-dioate	640.91 g/mol
LMPR01030041	Globulol	222.198365
CA00572	Actinioerythrol	568.764 g/mol
LMPR01070941	4'-Ethoxy-4-keto-beta-carotene	594.443680
CA00334	Dihydroxypirardixanthin	570.864 g/mol
CA00820	Apo-10'-violaxanthal	408.558 g/mol
LMPR0104080008	isopimara-7,15-dienol	288.245315
CA00547	(3R)-3-Hydroxy-4',12'-retro-beta,beta-carotene-3',12'-dione	580.816 g/mol
LMPR01090001	Retinol	286.229665
CA01200	14'-Apoastaxanthinal	340.444 g/mol
LMPR0103540019	Austrobuxusin A	532.158080
CA00172	R.g.Keto-IV	600.89 g/mol
LMPR0106200007	Fern-9(11)-ene-2alpha,2beta-diol	442.381080
LMPR01070289	15Z-beta,beta-Carotene-3R,3R'-diol	568.428030
LMPR01090039	6-s-cis-locked retinal	282.198365
CA01121	3,6,9-Trihydroxy-4-megastigmene	228.322 g/mol
LMPR0104030015	Haterumaimide Q	349.225309
CA00887	Apo-10'-bixinal	312.392 g/mol
LMPR0103540004	Tutin	294.110340
CA00146	Dihydroxyneurosporene	574.896 g/mol
LMPR0104030003	syn-Copalyl diphosphate	450.193631
CA00028	4'-Hydroxy-4,4'-diaponeurosporene-4-oic acid	448.62 g/mol
CA00289	Gelliodesxanthin	538.738 g/mol
CA00091	Rhodovibrin	584.89 g/mol
CA00825	β-Apo-8'-carotenal	416.62 g/mol
LMPR01070332	Fucoxanthinol 3-linoleate 3'-palmitoleate	1114.856455
LMPR0103010015	18:1(5Z)(9Me,13Me,17Me)	324.302830
CA00390	Physalien	1045.648 g/mol
CA00478	(3R)-3-Hydroxyechinenone	566.832 g/mol
CA00660	α-Doradexanthin	582.832 g/mol
CA00834	Triophaxanthin	444.63 g/mol
CA00910	11',12'-Dehydrononaprenoxanthin	622.978 g/mol
CA01160	Carlactonoic acid	316.382 g/mol
CA00944	Sarcinaxanthin diglucoside	1029.356 g/mol
LMPR0103190012	(-)-delta-selinene	204.187800
CA00175	R.g.Keto-II	612.9 g/mol
LMPR0104030004	forskolin	410.230455
LMPR0104170036	gibberellin A29	348.157290
CA00831	Sintaxanthin	430.646 g/mol
CA01143	Apo-8',15'-carotenedial	164.196 g/mol
LMPR0105040002	(-)-Salvisyriacolide	436.282490
LMPR0104330009	Stellerarin	622.350570
LMPR0103610001	Onitin	234.161980
CA00365	Nostoxanthin 3-sulphate	703.908 g/mol
LMPR0104050011	dehydroabietadienal	284.214015
LMPR0106150049	Brahucin B	504.345090
LMPR02030030	phyllohydroquinone	452.365431
CA01123	Apo-4'-lycopenoic acid	498.718 g/mol
CA00788	10'-Apolycopen-10'-ol	378.574 g/mol
LMPR01070334	Fucoxanthinol 3-myristate 3'-palmitoleate	1062.825155
LMPR0103610002	Alcyopterosin O	234.161980
LMPR01090030	19-Oxo-all-trans-retinoic acid	314.188195
LMPR0103530001	(+)-14,15-Epoxy-thapsan-14-ol	238.193280
LMPR01070263	Astaxanthin	596.386560
CA00853	β-Apo-8'-carotenic acid	432.62 g/mol
CA00810	Apo-12'-zeaxanthinal	366.522 g/mol
LMPR01070386	Mactraxanthin 3-myristate 3'-palmitoleate	1082.851370
LMPR0103160004	12-methoxyherbertene-1,2-diol	264.172545
CA00621	Helenien	1045.648 g/mol
LMPR0102120048	(+)-exo-5-hydroxycamphor	168.115030
LMPR03010008	Decaprenol	698.636565
CA01131	(9Z)-Lycopene	536.848 g/mol
CA00777	3,3'-Diethanoyloxyisorenieratene	644.856 g/mol
CA01053	(2S,5S,6R)-1,16-didehydro-2,6-cyclolycopene-5-ol	570.864 g/mol
LMPR0102070017	(+)-Iridodial	168.115030
LMPR0106180021	Uncariursanic acid	532.340005
CA00042	3,4-Dehydrolycopene	534.832 g/mol
CA00426	Latoxanthin	618.864 g/mol
LMFA05000218	Geranylfarnesol	358.323566
CA00774	3-Hydroxyisorenieratene	544.784 g/mol
LMPR0106040007	Viridominic acid B	604.324750
CA00818	Apo-12'-fucoxanthinal	398.522 g/mol
CA00052	(15Z)-1,2-dihydroneurosporene	540.88 g/mol
LMFA06000197	Geranylgeranial	288.245316
LMPR0104130008	2-O-(2-O-isovaleryl-beta-D-glucopyranosyl) atractyligenin	580.324750
LMPR0103370010	Ustusolate G	392.183505
LMPR0105060004	12-O-acetyl-16-O-deacetyl-16-epi-scalarobutenolide	444.287575
CA00837	Apo-8'-violaxanthin	448.62 g/mol
CA00626	Salmoxanthin	600.848 g/mol
LMPR0102070022	8-Epiiridodial	168.115030
CA00609	Deepoxysalmoxanthin	584.848 g/mol
LMPR0102060019	(R,R)-chrysanthemyl diphosphate	314.068431
CA01134	3-Hydroxy-α-Ionone	208.29 g/mol
LMPR0103060014	(R)-beta-bisabolene	204.187800
CA00569	Violerythrin	564.732 g/mol
CA00735	Hydroxyclathriaxanthin	578.8 g/mol
LMPR01040142	Novaxenicin C	382.199155
CA00333	7,8-Dihydroparasiloxanthin	572.88 g/mol
CA00681	(6S,6'S)-ε-Carotene	536.848 g/mol
CA01111	2,4,4-trimethyl-3-(3-oxobutyl)-2-cyclohexen-1-one	208.29 g/mol
CA01005	(9Z)-Bacterioruberin	741.108 g/mol
LMPR01060035	NA	460.355260
LMPR0103190003	Artemisinin	282.146725
LMPR0103830002	3-Copaene	204.187800
LMPR03010007	undecaprenol	766.699165
LMPR0104030030	Haterumaimide K	425.196902
LMPR0102070060	Genipin 1-gentiobioside	550.189775
CA00931	A.g.471	705.076 g/mol
CA01049	Cucumariaxanthins B	596.9 g/mol
LMPR0104050014	Lophachinin C	332.198760
LMPR0106160004	Glutinol	426.386165
LMPR01090036	9-cis retro-gamma-retinal	284.214015
LMPR0104010022	Pristanic acid	298.287180
LMPR0106080001	(+)-24-Dammarene-3beta-20S-diol	444.396730
CA00048	1,2-Dihydroneurosporene	540.88 g/mol
LMPR0106180023	3beta,6beta,19alpha-trihydroxy-urs-12-en-28-oic acid	488.350175
CA00189	Prephytoene pyrophosphate (diphosphate)	722.884 g/mol
CA00928	16-(3-Hydroxy-3-methylbutyl)-16'-(3-methylbut-2-enyl)-7,8,11,12,15,7',8',11',12',15'-decahydro-psi,psi-carotene	701.172 g/mol
LMPR0103630002	Furodysinin	216.151415
LMPR01070468	Lycopanerol F	1789.811105
CA00698	(6R,6'S)-3,3'-Diketo-ε-carotene	564.816 g/mol
CA01041	(all-E)-Retinoyl-β-glucuronide	476.548 g/mol
CA00943	Sarcinaxanthin monoglucoside	867.216 g/mol
CA00218	Bacteriorubixanthin	568.848 g/mol
LMPR0103500008	5-(2-hydroxyethyl)isolongifol-5-ene	248.214015
CA00948	Gazaniaxanthin	552.848 g/mol
LMPR0102070030	Loganin pentaacetate	600.205425
LMPR0104390006	Taxa-4(20),11(12)-dien-5alpha-acetoxy-10beta-ol	346.250795
CA00976	(9Z)-Violaxanthin	600.848 g/mol
CA00576	Peridininol	588.754 g/mol
LMPR0103370003	Proversilin A	250.156895
CA00271	1',2'-Dihydroxy-4-ketotorulene	582.832 g/mol
LMPR0106040004	3,11-diketofusidic acid	512.313790
LMPR0104030010	Sclareol	308.271530
LMPR0104230012	Gemmacolide D	614.176623
LMPR01040137	Rebaudioside J	1112.488705
LMPR01090014	all-trans-retinyl stearate	552.490630
CA00615	Lutein G	568.848 g/mol
LMPR0103500018	(-)-longifolene	204.187800
CA00949	Actinioerythrin	
CA00975	3-Palmitoyloxy-10'-apo-β-caroten-10'-oic acid	646.958 g/mol
LMPR01070297	14'-apo-beta-carotenal	310.229665
CA00005	4,4'-Diapo-7,8,11,12-tetrahydrolycopene	404.652 g/mol
LMPR0104080007	isopimara-7,15-diene	272.250400
CA00889	Crocetin	328.392 g/mol
LMPR0104050025	Dracocephalumoid E	340.131075
CA00990	Methoxyhydroxylycopene glucoside ester	805.108 g/mol
LMPR0105050005	Ophiobolin P	400.261360
CA00180	R.g.Keto-III	628.9 g/mol
LMPR0103230003	Torilenol	220.182715
LMPR0102120034	(1R)-bornane-2,3-dione	166.099380
